id,city,player_of_match,motm_team,non_motm_team,team1,team2,toss_winner,toss_decision,winner,eliminator,batting_team,bowling_team,year
1136568,Bengaluru,UT Yadav,RCB,KXIP,RCB,KXIP,RCB,field,RCB,N,KXIP,RCB,2018
1136571,Bengaluru,SV Samson,RR,RCB,RCB,RR,RCB,field,RR,N,RR,RCB,2018
1136579,Bengaluru,AB de Villiers,RCB,DC,RCB,DC,RCB,field,RCB,N,RCB,DD,2018
1136584,Bengaluru,MS Dhoni,CSK,RCB,RCB,CSK,CSK,field,CSK,N,CSK,RCB,2018
1136589,Bengaluru,CA Lynn,KKR,RCB,RCB,KKR,KKR,field,KKR,N,KKR,RCB,2018
1136591,Bengaluru,TG Southee,RCB,MI,RCB,MI,MI,field,RCB,N,MI,RCB,2018
1136611,Bengaluru,AB de Villiers,RCB,SRH,RCB,SRH,SRH,field,RCB,N,RCB,SRH,2018
1175362,Bengaluru,JJ Bumrah,MI,RCB,RCB,MI,RCB,field,MI,N,RCB,MI,2019
1175372,Bengaluru,AD Russell,KKR,RCB,RCB,KKR,KKR,field,KKR,N,RCB,KKR,2019
1178395,Bengaluru,K Rabada,DC,RCB,RCB,DC,DC,field,DC,N,RCB,DC,2019
1178414,Bengaluru,PA Patel,RCB,CSK,RCB,CSK,CSK,field,RCB,N,RCB,CSK,2019
1178417,Bengaluru,AB de Villiers,RCB,KXIP,RCB,KXIP,KXIP,field,RCB,N,RCB,KXIP,2019
1178429,Bengaluru,SO Hetmyer,RCB,SRH,RCB,SRH,RCB,field,RCB,N,RCB,SRH,2019
392226,Bloemfontein,B Lee,KXIP,DC,DC,KXIP,KXIP,field,KXIP,N,DD,KXIP,2009
392230,Bloemfontein,AB de Villiers,DD,DC,DC,RR,DC,bat,DC,N,DD,RR,2009
392181,Cape Town,SR Tendulkar,MI,CSK,CSK,MI,CSK,field,MI,N,MI,CSK,2009
392182,Cape Town,R Dravid,RCB,RR,RCB,RR,RCB,bat,RCB,N,RCB,RR,2009
392183,Cape Town,DL Vettori,DD,DC,DC,KXIP,DC,field,DC,N,KXIP,DD,2009
392184,Cape Town,RP Singh,SRH,KKR,SRH,KKR,KKR,bat,SRH,N,KKR,SRH,2009
392188,Cape Town,AC Gilchrist,SRH,RCB,RCB,SRH,SRH,bat,SRH,N,SRH,RCB,2009
392190,Cape Town,YK Pathan,RR,KKR,KKR,RR,KKR,field,RR,Y,KKR,RR,2009
392195,Cape Town,KC Sangakkara,KXIP,RR,KXIP,RR,KXIP,bat,KXIP,N,KXIP,RR,2009
392198,Centurion,YK Pathan,RR,DC,DC,RR,DC,bat,RR,N,RR,DD,2009
392201,Centurion,DP Nannes,DD,SRH,SRH,DC,DC,field,DC,N,SRH,DD,2009
392202,Centurion,SK Raina,CSK,RR,CSK,RR,RR,field,CSK,N,CSK,RR,2009
392212,Centurion,RG Sharma,SRH,MI,SRH,MI,SRH,bat,SRH,N,SRH,MI,2009
392213,Centurion,A Singh,RR,RCB,RCB,RR,RR,field,RR,N,RCB,RR,2009
392214,Centurion,ML Hayden,CSK,KXIP,CSK,KXIP,CSK,bat,CSK,N,CSK,KXIP,2009
392221,Centurion,LRPL Taylor,RCB,KKR,RCB,KKR,RCB,field,RCB,N,RCB,KKR,2009
392222,Centurion,Harbhajan Singh,MI,KXIP,KXIP,MI,KXIP,bat,MI,N,KXIP,MI,2009
392231,Centurion,BJ Hodge,KKR,CSK,CSK,KKR,CSK,bat,KKR,N,KKR,CSK,2009
392235,Centurion,V Sehwag,DD,DC,DC,MI,DC,field,DC,N,DD,MI,2009
392236,Centurion,MK Pandey,RCB,SRH,RCB,SRH,RCB,bat,RCB,N,RCB,SRH,2009
392237,Centurion,AC Gilchrist,SRH,DC,DC,SRH,SRH,field,SRH,N,SRH,DD,2009
335983,Chandigarh,MEK Hussey,CSK,KXIP,KXIP,CSK,CSK,bat,CSK,N,CSK,KXIP,2008
